0,A,A,A,A,A,A,A
1,B,B,B,B,B,B,B
2,C,C,C,C,C,C,C
3,D,D,D,D,D,D,D
4,E,E,E,E,E,E,E
5,F,F,F,F,F,F,F
6,G,G,G,G,G,G,G
7,H,H,H,H,H,H,H
8,I,I,I,I,I,I,I
9,A,I,H,G,F,E,D
10,B,A,I,H,G,F,E
11,C,B,A,I,H,G,F
12,D,C,B,A,I,H,G
13,E,D,C,B,A,I,H
14,F,E,D,C,B,A,I
15,G,F,E,D,C,B,A
16,H,G,F,E,D,C,B
17,I,H,G,F,E,D,C
18,A,H,F,D,B,I,G
19,B,I,G,E,C,A,H
20,C,A,H,F,D,B,I
21,D,B,I,G,E,C,A
22,E,C,A,H,F,D,B
23,F,D,B,I,G,E,C
24,G,E,C,A,H,F,D
25,H,F,D,B,I,G,E
26,I,G,E,C,A,H,F
27,A,G,D,I,E,B,H
28,B,H,E,A,F,C,I
29,C,I,F,B,G,D,A
30,D,A,G,C,H,E,B
31,E,B,H,D,I,F,C
32,F,C,I,E,A,G,D
33,G,D,A,F,B,H,E
34,H,E,B,G,C,I,F
35,I,F,C,H,D,A,G
36,A,F,B,E,H,D,I
37,B,G,C,F,I,E,A
38,C,H,D,G,A,F,B
39,D,I,E,H,B,G,C
40,E,A,F,I,C,H,D
41,F,B,G,A,D,I,E
42,G,C,H,B,E,A,F
43,H,D,I,C,F,B,G
44,I,E,A,D,G,C,H
45,A,E,I,B,D,H,C
46,B,F,A,C,E,I,D
47,C,G,B,D,F,A,E
None49,E,I,D,F,H,C,G
None50,F,A,E,G,I,D,H
None52,H,C,G,I,B,F,A
None48,D,H,C,E,G,B,F
None53,I,D,H,A,C,G,B
None51,G,B,F,H,A,E,I
